systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812365.48719	1411812365.00	41.178065	-8.598333	134.1	0.057	151.9600	1.1	1.5	1.8
1411812366.52706	1411812366.00	41.178063	-8.598333	134.1	0.062	147.0900	1.1	1.5	1.8
1411812367.96459	1411812367.00	41.178063	-8.598335	134.3	0.062	161.7600	1.1	1.5	1.8
1411812368.55966	1411812368.00	41.178062	-8.598335	134.5	0.062	158.0300	1.1	1.5	1.8
1411812369.48648	1411812369.00	41.178060	-8.598335	134.6	0.062	166.5800	1.1	1.5	1.8
1411812370.56138	1411812370.00	41.178060	-8.598335	134.7	0.062	168.7700	1.1	1.5	1.8
1411812371.52842	1411812371.00	41.178060	-8.598335	134.3	0.057	141.4900	1.1	1.5	1.8
1411812373.45448	?	?	?	134.4	?	?	1.1	1.5	1.8
1411812374.51119	1411812373.00	41.178058	-8.598335	134.2	0.072	173.1700	1.1	1.5	1.8
1411812375.56547	1411812375.00	41.178060	-8.598333	133.9	0.072	172.2900	1.1	1.5	1.8
1411812376.48585	1411812376.00	41.178060	-8.598332	133.6	0.057	144.0200	1.1	1.5	1.8
1411812377.96549	1411812377.00	41.178060	-8.598332	133.5	0.057	143.5600	1.1	1.5	1.8
1411812378.56653	1411812378.00	41.178060	-8.598330	133.2	?	?	1.1	1.5	1.8
1411812379.48270	1411812379.00	41.178060	-8.598330	133.1	0.057	148.9400	1.1	1.5	1.8
1411812380.55210	1411812380.00	41.178060	-8.598330	133.2	0.087	186.1900	1.1	1.5	1.8
1411812381.55929	1411812381.00	41.178058	-8.598332	133.3	0.077	178.4500	1.1	1.5	1.8
1411812383.41096	?	?	?	133.5	?	?	1.1	1.5	1.8
1411812383.95139	1411812383.00	41.178057	-8.598332	?	0.093	188.7100	?	?	?
1411812384.54324	1411812384.00	41.178057	-8.598332	133.4	0.072	178.8500	1.1	1.5	1.8
1411812385.54209	1411812385.00	41.178057	-8.598332	133.4	0.093	191.7800	1.1	1.5	1.8
1411812386.49886	1411812386.00	41.178055	-8.598333	133.6	0.067	169.6900	1.1	1.5	1.8
1411812387.96013	1411812387.00	41.178055	-8.598333	133.9	0.067	165.1700	1.1	1.5	1.8
1411812388.53064	1411812388.00	41.178053	-8.598333	133.9	0.072	179.6700	1.5	1.9	2.4
1411812389.48085	1411812389.00	41.178053	-8.598333	133.9	0.072	176.8200	1.5	1.9	2.4
1411812390.52676	1411812390.00	41.178053	-8.598333	133.9	0.072	179.1600	1.5	1.9	2.4
1411812391.52150	1411812391.00	41.178053	-8.598333	133.9	0.077	177.6500	1.5	1.9	2.4
1411812392.96068	1411812391.00	41.178053	-8.598333	133.9	0.077	177.6500	1.5	1.9	2.4
1411812393.46999	?	?	?	133.9	?	?	1.5	1.9	2.4
1411812394.50957	1411812393.00	41.178053	-8.598333	133.7	0.051	178.4600	1.1	1.5	1.8
1411812395.54819	1411812395.00	41.178055	-8.598332	133.4	0.031	141.8600	1.1	1.5	1.8
1411812396.50626	1411812396.00	41.178055	-8.598332	133.5	0.062	170.3400	1.1	1.5	1.8
1411812397.96669	1411812397.00	41.178053	-8.598333	133.7	0.051	156.9600	1.1	1.5	1.8
1411812398.58731	1411812398.00	41.178052	-8.598333	134.1	?	?	1.1	1.5	1.8
1411812399.48984	1411812399.00	41.178050	-8.598337	134.7	0.077	180.8800	1.1	1.5	1.8
1411812400.52824	1411812400.00	41.178048	-8.598338	135.2	0.087	176.6400	1.1	1.5	1.8
1411812401.58157	1411812401.00	41.178045	-8.598340	135.8	0.077	163.4100	1.1	1.5	1.8
