systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411813260.51629	1411813287.00	41.164803	-8.593473	163.2	4.141	345.0500	0.9	1.3	1.6
1411813261.50697	1411813288.00	41.164832	-8.593503	163.4	4.599	302.4000	0.9	1.3	1.6
1411813262.48271	1411813289.00	41.164848	-8.593557	163.5	5.103	285.1100	0.9	1.3	1.6
1411813264.44881	1411813290.00	41.164860	-8.593622	163.6	6.070	283.4200	0.9	1.3	1.6
1411813265.49446	1411813292.00	41.164885	-8.593787	163.8	7.367	281.5700	0.9	1.3	1.6
1411813266.51544	1411813293.00	41.164897	-8.593875	163.8	7.501	277.7300	0.9	1.3	1.6
1411813267.48517	1411813294.00	41.164908	-8.593963	163.5	7.686	282.2400	0.9	1.3	1.6
1411813269.51298	1411813296.00	41.164937	-8.594158	162.9	8.586	280.4800	1.0	1.4	1.7
1411813270.51535	1411813297.00	41.164950	-8.594260	162.8	8.612	280.1900	1.0	1.4	1.7
1411813271.49023	1411813298.00	41.164963	-8.594360	162.9	8.540	280.0200	0.9	1.3	1.6
1411813272.49532	1411813299.00	41.164977	-8.594463	163.0	8.859	280.7100	0.9	1.3	1.6
1411813274.51890	1411813301.00	41.165003	-8.594680	163.4	9.430	280.3100	0.9	1.3	1.6
1411813275.55744	1411813302.00	41.165018	-8.594787	163.2	8.406	283.6700	0.9	1.3	1.6
1411813276.51090	1411813303.00	41.165033	-8.594888	162.4	8.380	283.4100	0.9	1.3	1.6
1411813277.52853	1411813304.00	41.165047	-8.594985	161.8	7.753	281.5500	0.9	1.3	1.6
1411813279.44749	1411813305.00	41.165060	-8.595075	161.7	7.310	281.4300	0.9	1.3	1.6
1411813280.51130	1411813307.00	41.165078	-8.595243	162.9	6.765	279.5800	0.9	1.3	1.6
1411813281.49304	1411813308.00	41.165085	-8.595327	164.5	6.811	278.1900	0.9	1.3	1.6
1411813282.50147	1411813309.00	41.165095	-8.595397	164.4	5.052	278.2400	0.9	1.3	1.6
1411813284.44855	1411813310.00	41.165100	-8.595440	165.4	2.078	277.6400	0.9	1.3	1.6
1411813285.50885	1411813312.00	41.165098	-8.595473	166.0	1.235	272.8600	0.9	1.3	1.6
1411813286.51046	1411813313.00	41.165098	-8.595495	166.6	2.037	277.4000	0.9	1.3	1.6
1411813287.49321	1411813314.00	41.165098	-8.595527	167.1	2.840	270.0100	0.9	1.3	1.6
1411813289.45659	1411813315.00	41.165092	-8.595563	167.6	3.236	257.2100	0.9	1.3	1.6
1411813290.50087	1411813317.00	41.165037	-8.595595	167.8	3.977	164.1100	0.9	1.3	1.6
1411813291.47416	1411813318.00	41.165010	-8.595567	167.4	4.105	122.5800	0.9	1.3	1.6
1411813292.50423	1411813319.00	41.164997	-8.595517	166.6	4.846	100.4100	0.9	1.3	1.6
1411813294.43510	1411813320.00	41.164988	-8.595457	165.4	5.227	99.1600	0.9	1.3	1.6
1411813295.51630	1411813322.00	41.164973	-8.595317	164.7	6.400	98.1300	0.9	1.3	1.6
1411813296.49689	1411813323.00	41.164963	-8.595237	163.7	6.868	98.9100	0.9	1.3	1.6
1411813297.50080	1411813324.00	41.164953	-8.595148	163.1	7.321	98.3300	0.9	1.3	1.6
1411813299.47807	1411813325.00	41.164942	-8.595057	163.0	7.598	98.8000	0.9	1.3	1.6
1411813300.48949	1411813327.00	41.164920	-8.594863	162.4	8.746	96.8200	0.9	1.3	1.6
